publication_year,food,adulterant_or_substitute,triplet_rows,distinct_articles,mean_confidence
2024,tirupati laddus,lard/pig fat,1,1,0.95
2024,tirupati laddus,impurities,1,1,0.85
2024,tirupati prasadam,beef tallow,1,1,0.85
2024,tirupati prasadam,animal fat,1,1,0.75
2024,truffle,artificial flavoring,1,1,0.9
2024,truffle oil,artificial flavoring,1,1,0.95
2024,tuna,tilapia,1,1,0.9
2024,tuna,pangasius,1,1,0.9
2024,tuna,escolar,1,1,0.95
2024,turmeric,artificial coloring,1,1,0.85
2024,vanaspati,beef tallow,3,2,0.9333
2024,vanaspati,refined oils,1,1,0.9
2024,vanaspati,palm oil family,1,1,0.85
2024,wall s frozen products,vegetable oil/fat,1,1,0.85
2024,wheat flour,pesticide residue,1,1,0.9
2025,Butter,unknown adulterant,1,1,0.7
2025,Butter,starch,1,1,0.9
2025,Butter,vegetable oil/fat,1,1,0.95
2025,Butter,fatty acids,1,1,0.95
2025,Cheese,cheese analog,2,2,0.85
2025,Cheese,listeria,1,1,0.75
2025,Cheese,palm oil family,2,1,0.85
2025,Cheese,adulterant,1,1,0.8
2025,Coconut oil,unspecified adulterant,2,2,0.85
2025,Coconut oil,palm oil family,4,2,0.8625
2025,Coconut oil,spurious coconut oil,1,1,0.85
2025,Coconut oil,monoglycerides,1,1,0.9
2025,Coconut oil,acetic acid ester,1,1,0.9
2025,Coconut oil,refined coconut oil,1,1,0.85
2025,Coconut oil,paraffin wax,1,1,0.9
2025,Coconut oil,synthetic antioxidants,1,1,0.9
2025,Coconut oil,hydrogenated fats,1,1,0.9
2025,Coconut oil,spurious edible oils,1,1,0.75
2025,Coconut oil,fake coconut oil,1,1,0.85
2025,Coconut oil,testa oil,3,1,0.8667
2025,Coconut oil,sunflower oil,2,1,0.85
2025,Curd/yoghurt,fungus,3,3,0.8833
2025,Curd/yoghurt,milk powder,2,2,0.95
2025,Curd/yoghurt,fungal infestation,2,2,0.875
2025,Curd/yoghurt,fungi,1,1,0.95
2025,Curd/yoghurt,dead lizard,1,1,0.9
2025,Curd/yoghurt,detergent,1,1,0.9
2025,Curd/yoghurt,poison,2,1,0.925
2025,Edible/cooking oil,used cooking oil,1,1,0.9
2025,Edible/cooking oil,total polar compounds,1,1,0.9
2025,Edible/cooking oil,animal fat,1,1,0.9
2025,Ghee,palm oil family,77,41,0.9117
2025,Ghee,animal fat,41,32,0.9
2025,Ghee,vegetable oil/fat,29,18,0.9093
2025,Ghee,acetic acid ester,17,14,0.9088
2025,Ghee,chemicals,12,12,0.875
2025,Ghee,vanaspati,11,10,0.9091
2025,Ghee,beta carotene,8,8,0.9
2025,Ghee,coconut oil,11,8,0.8909
2025,Ghee,adulterated ghee,8,7,0.8625
2025,Ghee,unknown adulterant,7,6,0.7214
2025,Ghee,unspecified adulterant,6,6,0.8417
2025,Ghee,monodiglycerides,6,6,0.8917
2025,Ghee,starch,5,5,0.9
2025,Ghee,beef tallow,5,5,0.83
2025,Ghee,lard/pig fat,4,4,0.8875
2025,Ghee,monoglycerides,4,4,0.9125
2025,Ghee,dalda,8,4,0.8875
2025,Ghee,refined oil,4,4,0.9125
2025,Ghee,ghee essence,5,4,0.88
2025,Ghee,beta sitosterol,7,4,0.8714
2025,Ghee,synthetic essence,3,3,0.9233
2025,Ghee,artificial fragrances,3,3,0.95
2025,Ghee,urea,3,3,0.9
2025,Ghee,artificial colour,3,3,0.9
2025,Ghee,essence,4,3,0.8875
2025,Ghee,houseflies,3,3,0.9167
2025,Ghee,adulterated substance,3,3,0.85
2025,Ghee,spurious ghee,4,3,0.8625
2025,Ghee,artificial essence,5,3,0.884
2025,Ghee,mosquitoes,3,3,0.9167
2025,Ghee,lactic acid ester,3,3,0.9
2025,Ghee,animal carcass residues,3,3,0.9167
2025,Ghee,cheap refined oil,2,2,0.925
2025,Ghee,foreign fat,2,2,0.85
2025,Ghee,mono glycerides,2,2,0.9
2025,Ghee,artificial ghee essence,2,2,0.925
2025,Ghee,adulterant in ghee,2,2,0.875
2025,Ghee,fish oil,2,2,0.9
2025,Ghee,acetic acid,2,2,0.9
2025,Ghee,esters,2,2,0.875
2025,Ghee,groundnut oil,2,2,0.9
2025,Ghee,synthetic colors,2,2,0.9
2025,Ghee,soapstone,2,2,0.9
2025,Ghee,adulterants,2,2,0.925
2025,Ghee,non edible oils,2,2,0.95
2025,Ghee,ghee flavour,2,2,0.9
2025,Ghee,unspecified adulterant in ghee,2,2,0.9
2025,Ghee,unsafe substances,2,2,0.8
2025,Ghee,soybean,3,2,0.9
2025,Ghee,hydrogenated fats,2,2,0.875
2025,Ghee,synthetic ghee,2,2,0.925
2025,Ghee,paraffin wax,2,2,0.875
2025,Ghee,adulterant,2,2,0.75
2025,Ghee,foreign fats,2,2,0.925
2025,Ghee,preservatives,2,2,0.8
2025,Ghee,water,2,2,0.775
2025,Ghee,fatty acid mono and diglycerides,3,2,0.9
2025,Ghee,synthetic essences,3,2,0.95
2025,Ghee,mono and diglycerides,2,2,0.9
2025,Ghee,artificial flavourings,1,1,0.95
2025,Ghee,chemical flavouring agents,2,1,0.95
2025,Ghee,mosquitoes and houseflies,1,1,0.9
2025,Ghee,artificial ghee flavour,1,1,0.9
2025,Ghee,palm kernel derivatives,1,1,0.95
2025,Ghee,chemical additives,1,1,0.9
2025,Ghee,food colouring,1,1,0.9
2025,Ghee,cheap fats,1,1,0.9
2025,Ghee,cream,1,1,0.85
2025,Ghee,milk powder,1,1,0.85
2025,Ghee,adulterated variants,1,1,0.75
2025,Ghee,aroma,1,1,0.85
2025,Ghee,low grade edible oils,2,1,0.875
2025,Ghee,acetic acid esters,1,1,0.95
2025,Ghee,cheaper oils,2,1,0.85
2025,Ghee,mashed potatoes,1,1,0.85
2025,Ghee,sweet potatoes,1,1,0.85
2025,Ghee,various chemicals,1,1,0.85
2025,Ghee,detergent,1,1,0.9
2025,Ghee,animal tallow,2,1,0.85
2025,Ghee,ghee flavor,1,1,0.9
2025,Ghee,tallow,1,1,0.9
2025,Ghee,synthetic flavors,1,1,0.9
2025,Ghee,spurious types of oils,1,1,0.85
2025,Ghee,chemical based flavouring agents,1,1,0.9
2025,Ghee,diglycerides,2,1,0.9
2025,Ghee,fatty acid mono,1,1,0.9
2025,Ghee,other oil,1,1,0.7
2025,Ghee,impure substances,1,1,0.95
2025,Ghee,synthetic colours,1,1,0.95
2025,Ghee,artificial flavours,1,1,0.9
2025,Ghee,refined oils,1,1,0.9
2025,Ghee,non dairy substances,1,1,0.9
2025,Ghee,additives to extend shelf life,1,1,0.85
2025,Ghee,trans fats,1,1,0.9
2025,Ghee,food colours,1,1,0.85
2025,Ghee,kernel oil,1,1,0.95
2025,Ghee,edible oils,1,1,0.9
2025,Ghee,β sitosterol,1,1,0.9
2025,Ghee,ghee from sri vyshnavi dairy specialties,1,1,0.75
2025,Ghee,houseflies and mosquitoes,1,1,0.85
2025,Ghee,synthetic fat,1,1,0.95
2025,Ghee,hydrogenated oils,1,1,0.9
2025,Ghee,industrial fats,1,1,0.9
2025,Ghee,mono and di glycerides,1,1,0.9
2025,Ghee,chemical esters,1,1,0.9
2025,Ghee,fake amul labelled ghee,1,1,0.85
2025,Ghee,refined soybean oil,1,1,0.95
2025,Ghee,toxic substances,1,1,0.85
2025,Ghee,lactic acid,1,1,0.9
2025,Ghee,yellow colouring,1,1,0.9
2025,Ghee,yellow colour,1,1,0.85
2025,Ghee,synthetic aroma,1,1,0.85
2025,Ghee,harmful chemicals,2,1,0.875
2025,Ghee,artificial flavour,1,1,0.9
2025,Khoya/mawa,starch,9,8,0.9056
2025,Khoya/mawa,detergent,5,4,0.89
2025,Khoya/mawa,milk powder,3,3,0.8833
2025,Khoya/mawa,flour,2,2,0.875
2025,Khoya/mawa,palm oil family,2,2,0.95
2025,Khoya/mawa,potato,1,1,0.9
2025,Khoya/mawa,sweet potato,1,1,0.9
2025,Khoya/mawa,soap,1,1,0.9
2025,Khoya/mawa,washing soda,1,1,0.85
2025,Khoya/mawa,synthetic fat,1,1,0.8
2025,Khoya/mawa,contaminated khoya,1,1,0.85
2025,Khoya/mawa,skimmed milk powder,1,1,0.9
2025,Khoya/mawa,unidentified white powder,1,1,0.85
2025,Khoya/mawa,ghee,1,1,0.75
2025,Khoya/mawa,synthetic milk,1,1,0.9
2025,Khoya/mawa,artificial ingredients,1,1,0.85
2025,Khoya/mawa,synthetic materials,1,1,0.9
2025,Khoya/mawa,urea,1,1,0.85
2025,Khoya/mawa,formalin/formaldehyde,1,1,0.95
2025,Khoya/mawa,fungus,1,1,0.85
2025,Khoya/mawa,adulterated khoya,1,1,0.75
2025,Khoya/mawa,oil adulterants,1,1,0.9
2025,Khoya/mawa,substandard materials,1,1,0.8
2025,Khoya/mawa,unknown adulterant in khoya,1,1,0.9
2025,Milk,water,12,11,0.9125
2025,Milk,urea,12,9,0.925
2025,Milk,detergent,10,8,0.9
2025,Milk,starch,7,6,0.9357
2025,Milk,refined oil,7,6,0.8714
2025,Milk,unspecified adulterant,4,4,0.8375
2025,Milk,palm oil family,6,4,0.8583
2025,Milk,carbonate neutraliser,4,4,0.9
2025,Milk,poison,4,4,0.9125
2025,Milk,vegetable oil/fat,5,3,0.85
2025,Milk,formalin/formaldehyde,3,3,0.9333
2025,Milk,foreign fat,2,2,0.9
2025,Milk,cheap oils,2,2,0.9
2025,Milk,vanaspati,2,2,0.9
2025,Milk,caustic soda,2,2,0.95
2025,Milk,glucose,2,2,0.9
2025,Milk,ammonium carbonate,1,1,0.95
2025,Milk,synthetic colours,1,1,0.85
2025,Milk,bacteria,1,1,0.9
2025,Milk,diphtheria bacteria,1,1,0.9
2025,Milk,typhoid bacteria,1,1,0.9
2025,Milk,bovine tuberculosis,1,1,0.9
2025,Milk,septic sore throat bacteria,1,1,0.9
2025,Milk,plastic,1,1,0.85
2025,Milk,plastic waste,1,1,0.85
2025,Milk,selfoss,2,1,0.95
2025,Milk,synthetic milk,1,1,0.85
2025,Milk,contaminant,1,1,0.75
2025,Milk,mercury,2,1,0.85
2025,Milk,salt,1,1,0.9
2025,Milk,campylobacter jejuni,1,1,0.9
2025,Milk,melamine,1,1,0.95
2025,Milk,harmful chemicals,1,1,0.85
2025,Milk,tremetol,1,1,0.95
2025,Milk,listeria,1,1,0.9
2025,Milk,campylobacter,1,1,0.9
2025,Milk,aflatoxins,1,1,0.95
2025,Milk,aflatoxin,2,1,0.95
2025,Milk,pesticide residue,1,1,0.95
2025,Milk,chemicals,1,1,0.85
2025,Milk,soap solution,1,1,0.9
2025,Milk,poster colour,1,1,0.9
2025,Milk,optical whitening agents,1,1,0.9
2025,Milk,soybean based milk,1,1,0.9
2025,Milk,artificial sweeteners,1,1,0.9
2025,Milk,calcium hydroxide,1,1,0.95
2025,Milk,alum,1,1,0.95
2025,Mustard oil,argemone oil,5,4,0.92
2025,Mustard oil,palm oil family,5,3,0.91
2025,Mustard oil,artificial colours,2,2,0.95
2025,Mustard oil,rice bran oil,2,2,0.9
2025,Mustard oil,cottonseed oil,1,1,0.8
2025,Mustard oil,mineral oil,1,1,0.9
2025,Mustard oil,karanja oil,1,1,0.9
2025,Mustard oil,cyanide,1,1,0.9
2025,Mustard oil,linseed oil,1,1,0.9
2025,Mustard oil,artificial allyl isothiocyanate,1,1,0.9
2025,Mustard oil,synthetic mustard essence,1,1,0.95
2025,Mustard oil,soybean oil,1,1,0.85
2025,Mustard oil,artificial colour,1,1,0.95
2025,Mustard oil,substandard mustard oil,1,1,0.85
2025,Mustard oil,adulterant,1,1,0.75
2025,Palm oil,monoglycerides,1,1,0.9
2025,Palm oil,acetic acid ester,1,1,0.9
2025,Paneer,palm oil family,9,9,0.8944
2025,Paneer,starch,8,8,0.925
2025,Paneer,detergent,6,5,0.9083
2025,Paneer,vegetable oil/fat,5,4,0.89
2025,Paneer,cheese analog,6,4,0.9
2025,Paneer,carbonate neutraliser,4,4,0.95
2025,Paneer,skimmed milk powder,5,4,0.88
2025,Paneer,harmful chemicals,3,3,0.8667
2025,Paneer,urea,4,3,0.9125
2025,Paneer,milk powder,3,3,0.8667
2025,Paneer,unspecified adulterant,3,3,0.8667
2025,Paneer,cheese analogue,4,3,0.9375
2025,Paneer,refined oil,3,3,0.95
2025,Paneer,unidentified liquid substances,2,2,0.85
2025,Paneer,unknown adulterant in paneer,2,2,0.85
2025,Paneer,unknown adulterant,2,2,0.8
2025,Paneer,formalin/formaldehyde,1,1,0.9
2025,Paneer,chemicals,1,1,0.85
2025,Paneer,water,1,1,0.85
2025,Paneer,anti foam agents,1,1,0.85
2025,Paneer,analogue paneer,1,1,0.95
2025,Paneer,oil,1,1,0.95
2025,Paneer,sucrose,1,1,0.95
2025,Paneer,tinopal,2,1,0.95
2025,Paneer,ala,1,1,0.95
2025,Paneer,adulterant,1,1,0.8
2025,Paneer,bacteria,1,1,0.9
2025,Paneer,pathogens,1,1,0.9
2025,Paneer,synthetic colours,2,1,0.9
2025,Paneer,saccharin,2,1,0.9
2025,Paneer,bacterial presence,1,1,0.85
2025,Paneer,non dairy additives,1,1,0.85
2025,Paneer,oils,1,1,0.9
2025,Paneer,fatty ingredients,1,1,0.85
2025,Paneer,artificial fat,1,1,0.85
2025,Paneer,arrowroot,2,1,0.925
2025,Paneer,listeria,1,1,0.75
2025,Paneer,e coli,1,1,0.85
2025,Paneer,chemical adulterants,1,1,0.85
2025,Paneer,unsafe condition,1,1,0.75
2025,Paneer,low quality oils,1,1,0.9
2025,Paneer,hydrogen peroxide,1,1,0.95
2025,Paneer,safolite,1,1,0.95
2025,Paneer,soybean,1,1,0.9
2025,Paneer,calcium hydroxide,1,1,0.9
2025,Paneer,unspecified adulterant in paneer,1,1,0.75
2025,Paneer,acetic acid,1,1,0.95
2025,Paneer,foul smelling substance,1,1,0.75
2025,Rice bran oil,unknown adulterant in rice bran oil,1,1,0.75
2025,Soybean oil,vitamin d,1,1,0.95
2025,Tirupati laddu,adulterated ghee,2,2,0.85
2025,Tirupati laddu,plant based ingredients,1,1,0.85
2025,Tirupati laddu,palm oil family,1,1,0.95
2025,Tirupati laddu,animal fat,1,1,0.75
2025,Tirupati laddu,substandard ingredients,1,1,0.75
2025,Tirupati laddu,synthetic ghee,1,1,0.9
2025,Tirupati laddu,chemically treated ghee,1,1,0.9
2025,almonds,fungus,3,2,0.9
2025,animal fat,vegetable oil/fat,1,1,0.9
2025,ar dairy,adulterated ghee,1,1,0.85
2025,barfi,fungus,1,1,0.85
2025,beta sitosterol,ghee,1,1,0.95
2025,bhole baba organic dairy,monodiglycerides,1,1,0.85
2025,binni refined oil,vitamin d,1,1,0.8
2025,birthday cake,hazardous substances,1,1,0.85
2025,boondi laddoo,fungus,2,1,0.95
2025,bottled water,microplastics,1,1,0.9
2025,buckwheat flour,contaminant,1,1,0.85
2025,bun muska,glass pieces,1,1,0.95
2025,cake,synthetic colours,1,1,0.95
2025,chhena,starch,1,1,0.9
2025,chilli powder,artificial colour,2,2,0.875
2025,chilli powder,brick powder,3,2,0.9333
2025,chilli powder,sudan red,1,1,0.9
2025,chilli powder,harmful colouring agents,1,1,0.95
2025,chilli powder,lead chromate,1,1,0.95
2025,chilli powder,metanil yellow,1,1,0.95
2025,chilli powder,rhodamine B,1,1,0.95
2025,chilli powder,sand,1,1,0.85
2025,coffee powder,clay,1,1,0.9
2025,colour infused sweets,synthetic colours,1,1,0.75
2025,cooked rice,bacillus cereus,1,1,0.9
2025,cooking oils,animal fat,1,1,0.95
2025,cool drinks,water,1,1,0.9
2025,cool drinks,phosphoric acid,1,1,0.95
2025,cotton candy,rhodamine B,1,1,0.95
2025,dairy products,salmonella,1,1,0.85
2025,doughnuts,artificial colouring,1,1,0.95
2025,dry fruits,mineral oil,2,2,0.875
2025,dry fruits,artificial colour,1,1,0.9
2025,dry fruits,artificial colours,1,1,0.85
2025,edible oils,cheaper oils,1,1,0.85
2025,edible oils,artificial colours,1,1,0.9
2025,edible oils,artificial flavours,1,1,0.9
2025,egg,underweight egg,1,1,0.75
2025,egg,substances containing carcinogenic elements,1,1,0.75
2025,eggs,chikki,2,1,0.9
2025,eggs,banana,1,1,0.9
2025,fake nandini pouches,adulterated ghee,1,1,0.9
2025,fast foods,harmful colours,2,1,0.85
2025,fish,formalin/formaldehyde,2,2,0.925
2025,fish,malachite green,1,1,0.9
2025,fish,rhodamine B,1,1,0.9
2025,fish,ammonia,1,1,0.9
2025,food,microplastics,1,1,0.85
2025,food items,artificial colors,2,1,0.85
2025,fortified oil,vitamin d,1,1,0.95
2025,fresh meat,decayed and dead animal meat,1,1,0.9
2025,fresh meat,decayed or spoiled meat,1,1,0.95
2025,fruits,pesticide residue,4,4,0.9
2025,fruits,microplastics,1,1,0.9
2025,fruits,calcium carbide,1,1,0.95
2025,fruits,heavy metals,1,1,0.9
2025,ginger garlic paste,maida,1,1,0.85
2025,ginger garlic paste,cornflour,1,1,0.85
2025,ginger garlic paste,artificial colours,1,1,0.85
2025,ginger garlic paste,preservatives,1,1,0.75
2025,ginger garlic paste,spoiled ginger,1,1,0.8
2025,ginger garlic paste,spoiled garlic,1,1,0.8
2025,golgappas,water,1,1,0.85
2025,green veggies,malachite green,1,1,0.9
2025,groundnut,contaminant,1,1,0.75
2025,halwa,adulterated ghee,1,1,0.95
2025,hing,krista brand bandhani hing,1,1,0.95
2025,honey,sugar,2,2,0.9
2025,honey,rice syrup,1,1,0.95
2025,honey,glucose,1,1,0.85
2025,hydrogenated oils,trans fats,1,1,0.9
2025,ice cream,detergent,3,2,0.95
2025,ice cream,chalk powder,1,1,0.95
2025,ice cream,washing soda,1,1,0.95
2025,jalebi,synthetic food colours,2,2,0.95
2025,jam,artificial colours,1,1,0.85
2025,kalakand,formalin/formaldehyde,1,1,0.9
2025,kera haritham,fake fssai numbers,1,1,0.85
2025,kera surya,fake fssai numbers,1,1,0.85
2025,khowa,starch,2,2,0.95
2025,khowa,industrial colour,1,1,0.85
2025,koya,synthetic food colours,2,2,0.95
2025,laddu,tainted ghee,1,1,0.8
2025,laddu,palm oil family,1,1,0.95
2025,laddu,chemical additives,1,1,0.85
2025,laddu,spurious ghee,1,1,0.95
2025,laddu,adulterated ghee,1,1,0.95
2025,laddu prasadam,ghee,1,1,0.95
2025,laddus,synthetic food colours,2,2,0.95
2025,laddus,spurious ghee,1,1,0.95
2025,laddus,adulterated ghee,1,1,0.8
2025,leafy greens,e coli,1,1,0.85
2025,leafy greens,listeria,1,1,0.85
2025,leafy greens,salmonella,1,1,0.85
2025,locally prepared snacks,auramine,1,1,0.75
2025,maize,aflatoxin,1,1,0.95
2025,mangoes,calcium carbide,1,1,0.9
2025,meat,plastic,1,1,0.85
2025,meat,plastic waste,1,1,0.85
2025,medicinal syrups,deadly contaminants,1,1,0.95
2025,medicinal syrups,ethylene glycol,1,1,0.85
2025,medicinal syrups,diethylene glycol,1,1,0.85
2025,mithai,starch,2,2,0.9
2025,mithai,artificial dyes,2,2,0.9
2025,mithai,metallic powders,2,2,0.9
2025,mithai,fake khoya,1,1,0.9
2025,mithai,aluminium,1,1,0.9
2025,mithai,detergent,1,1,0.85
2025,mithai,industrial dyes,1,1,0.9
2025,mustard seeds,argemone seeds,1,1,0.95
2025,oil,animal fat,1,1,0.95
2025,oil,total polar compounds,1,1,0.9
2025,oil,vitamin d,1,1,0.95
2025,oysters,vibrio,1,1,0.9
2025,pakoras,water,1,1,0.85
2025,palm kernel oil,monoglycerides,1,1,0.9
2025,palm kernel oil,acetic acid ester,1,1,0.9
2025,pasta,bacillus cereus,1,1,0.9
2025,peppercorns,ethylene oxide,1,1,0.9
2025,petha,artificial colour,1,1,0.9
2025,poultry,microplastics,1,1,0.9
2025,prawns,contaminants,1,1,0.8
2025,pre cut fruits,e coli,1,1,0.85
2025,pre cut fruits,listeria,1,1,0.85
2025,pre cut fruits,salmonella,1,1,0.85
2025,prepared foods,microplastics,1,1,0.9
2025,protein supplements,lead,1,1,0.9
2025,protein supplements,mercury,1,1,0.9
2025,protein supplements,cadmium,1,1,0.9
2025,protein supplements,arsenic,1,1,0.9
2025,protein supplements,synthetic flavours,1,1,0.85
2025,protein supplements,hydrogenated oils,1,1,0.85
2025,protein supplements,unverified herbal stimulants,1,1,0.8
2025,rasgullas,fly infested,1,1,0.9
2025,raw sprouts,e coli,1,1,0.85
2025,raw sprouts,salmonella,1,1,0.85
2025,red chilli powder,coloured stems,2,2,0.9
2025,red chilli powder,dust,2,2,0.85
2025,rice,bacillus cereus,1,1,0.85
2025,rice,plastic,1,1,0.95
2025,roasted flattened rice,insects,1,1,0.85
2025,saffron,auramine,1,1,0.8
2025,salt,chalk,1,1,0.9
2025,salt,chalk powder,1,1,0.95
2025,seafood,microplastics,1,1,0.9
2025,sella rice,turmeric,1,1,0.95
2025,silk dupatta,polyester,1,1,0.9
2025,silver vark,aluminium foil,2,2,0.95
2025,soft drinks,vegetable oil/fat,1,1,0.85
2025,sonpapdi,fungus,1,1,0.85
2025,soy sauce,potato pulp,3,1,0.95
2025,spice products,ethylene oxide,1,1,0.9
2025,spices,acetamiprid,1,1,0.9
2025,spices,imidacloprid,1,1,0.9
2025,spices,adulterant,1,1,0.75
2025,spices,sudan dyes,1,1,0.95
2025,split cashews,insects,1,1,0.9
2025,sri vyshnavi dairy specialities,beta sitosterol,1,1,0.9
2025,srivari laddu prasadam,adulterated ghee,1,1,0.95
2025,street food,carcinogenic compounds,1,1,0.8
2025,substandard flour,substandard,1,1,0.75
2025,sugar,chalk,1,1,0.9
2025,sweets,substandard ingredients,3,3,0.7833
2025,sweets,non food grade silver foils,2,2,0.9
2025,sweets,harmful colouring agents,1,1,0.85
2025,sweets,adulterated ghee,1,1,0.85
2025,sweets,artificial colors,1,1,0.85
2025,sweets,synthetic food colours,1,1,0.95
2025,sweets,detergent,1,1,0.9
2025,sweets,auramine o,1,1,0.9
2025,sweets,metanil yellow,1,1,0.9
2025,sweets,rhodamine B,1,1,0.9
2025,sweets,malachite green,1,1,0.9
2025,sweets,artificial dyes,1,1,0.95
2025,sweets,non edible food colours,1,1,0.95
2025,sweets,rotten matter,1,1,0.85
2025,sweets,suspicious ingredients,1,1,0.75
2025,tap water,bacteria,1,1,0.9
2025,tap water,viruses,1,1,0.9
2025,tap water,harmful chemicals,1,1,0.9
2025,tea,pesticide residue,3,3,0.9
2025,tea leaves,iron filings,1,1,0.95
2025,tea leaves,artificial colouring,1,1,0.95
2025,tirupati laddoo,adulterated ghee,1,1,0.95
2025,tirupati laddus,animal fat,1,1,0.7
2025,toast,saccharin,1,1,0.85
2025,ttd laddu,ghee,1,1,0.75
2025,turmeric,lead chromate,5,5,0.95
2025,turmeric,rice flour,2,2,0.95
2025,turmeric,metanil yellow,2,2,0.95
2025,turmeric,auramine,2,1,0.85
2025,turmeric,brick powder,1,1,0.95
2025,turmeric,rhodamine B,1,1,0.95
2025,turmeric powder,metanil yellow,1,1,0.95
2025,turmeric powder,lead chromate,1,1,0.9
2025,turmeric powder,chalk powder,1,1,0.85
2025,undercooked beef,e coli,1,1,0.9
2025,vegetable sauce,potato pulp,2,1,0.95
2025,vegetables,pesticide residue,7,4,0.9071
2025,vegetables,microplastics,1,1,0.9
2025,wheat,benzoyl peroxide,1,1,0.95
2025,wheat,aflatoxin,1,1,0.95
2026,Butter,starch,1,1,0.85
2026,Cheese,skimmed milk powder,2,2,0.775
2026,Cheese,non milk raw materials,1,1,0.75
2026,Cheese,vegetable oil/fat,1,1,0.85
2026,Coconut oil,adulterated coconut oil,2,1,0.85
2026,Curd/yoghurt,ethylene glycol,1,1,0.9
2026,Curd/yoghurt,starch,1,1,0.9
2026,Edible/cooking oil,used cooking oil,2,2,0.875
2026,Edible/cooking oil,stale and hazardous cooking oil,1,1,0.8
2026,Edible/cooking oil,stale cooking oil,1,1,0.8
2026,Edible/cooking oil,total polar compounds tpc,1,1,0.95
2026,Edible/cooking oil,degraded cooking oil,1,1,0.8
2026,Edible/cooking oil,reused oil,1,1,0.85
2026,Edible/cooking oil,diesel,1,1,0.95
2026,Edible/cooking oil,expired cooking oil,1,1,0.85
2026,Edible/cooking oil,reused cooking oil,1,1,0.75
2026,Edible/cooking oil,unspecified adulterant,1,1,0.85
2026,Edible/cooking oil,total polar compounds,2,1,0.875
2026,Edible/cooking oil,hazardous storage contaminants,1,1,0.75
2026,Ghee,palm oil family,72,33,0.9181
2026,Ghee,vegetable oil/fat,48,25,0.9104
2026,Ghee,animal fat,35,23,0.8814
2026,Ghee,chemicals,20,20,0.8325
2026,Ghee,unspecified adulterant,11,11,0.8091
2026,Ghee,vanaspati,12,9,0.8958
2026,Ghee,beta carotene,8,7,0.8875
2026,Ghee,adulterated ghee,8,6,0.8187
2026,Ghee,acetic acid ester,5,5,0.89
2026,Ghee,lard/pig fat,5,5,0.88
2026,Ghee,synthetic ghee,8,5,0.9187
2026,Ghee,unknown adulterant,4,4,0.8
2026,Ghee,acetic acid,3,3,0.8833
2026,Ghee,sunflower oil,3,3,0.85
2026,Ghee,non dairy constituents,3,3,0.9
2026,Ghee,cottonseed oil,3,3,0.8667
2026,Ghee,monoglycerides,4,3,0.8875
2026,Ghee,sweet potato,4,3,0.8875
2026,Ghee,starch,3,3,0.8667
2026,Ghee,soybean oil,3,3,0.8667
2026,Ghee,lactic acid,3,3,0.9
2026,Ghee,beef tallow,4,3,0.85
2026,Ghee,acetic acid esters,3,2,0.9167
2026,Ghee,fish oil,2,2,0.875
2026,Ghee,unknown adulterant in ghee,2,2,0.775
2026,Ghee,adulterated substance,2,2,0.75
2026,Ghee,spurious substance,2,2,0.75
2026,Ghee,additives,2,2,0.85
2026,Ghee,unidentified oil,3,2,0.85
2026,Ghee,artificial flavouring agents,2,2,0.875
2026,Ghee,potato,2,2,0.9
2026,Ghee,synthetic oils,2,2,0.875
2026,Ghee,beta sitosterol,2,2,0.9
2026,Ghee,rapeseed oil,2,2,0.85
2026,Ghee,ghee flavour,1,1,0.9
2026,Ghee,laboratory esters,1,1,0.9
2026,Ghee,artificial flavouring,1,1,0.9
2026,Ghee,synthetic material,1,1,0.9
2026,Ghee,animal skin,1,1,0.9
2026,Ghee,animal bones,1,1,0.9
2026,Ghee,soybean,2,1,0.85
2026,Ghee,rapeseed,1,1,0.85
2026,Ghee,cottonseed,1,1,0.85
2026,Ghee,harmful substances,1,1,0.7
2026,Ghee,hydrogenated fats,1,1,0.9
2026,Ghee,chemical substances,1,1,0.85
2026,Ghee,carrot extract,2,1,0.85
2026,Ghee,coconut oil,1,1,0.9
2026,Ghee,synthetic blends,1,1,0.85
2026,Ghee,hydrogenated oil,1,1,0.9
2026,Ghee,flavouring essence,1,1,0.9
2026,Ghee,refined soybean oil,1,1,0.95
2026,Ghee,synthetic essence,3,1,0.9333
2026,Ghee,non milk raw materials,1,1,0.75
2026,Ghee,fatty acid mono and diglycerides,1,1,0.85
2026,Ghee,soapstone,1,1,0.9
2026,Ghee,animal body fat,1,1,0.9
2026,Ghee,mashed potatoes,1,1,0.9
2026,Ghee,synthetic flavouring agents,1,1,0.9
2026,Ghee,cheap oils,2,1,0.825
2026,Ghee,low quality substances,1,1,0.75
2026,Ghee,β sitosterol,1,1,0.95
2026,Ghee,carotenoids extracted from carrots,1,1,0.85
2026,Ghee,cheaper oils,1,1,0.85
2026,Ghee,preservatives,1,1,0.75
2026,Ghee,water,1,1,0.75
2026,Ghee,synthetic materials,1,1,0.95
2026,Ghee,mono glycerides,1,1,0.85
2026,Ghee,î² sitosterol,1,1,0.95
2026,Ghee,chemically manufactured substance,1,1,0.85
2026,Ghee,adulterant,1,1,0.9
2026,Ghee,buffalo fat,1,1,0.9
2026,Ghee,cotton seeds,2,1,0.925
2026,Ghee,fake saras ghee,1,1,0.85
2026,Ghee,unspecified adulterant in ghee,1,1,0.9
