food,adulterant_or_substitute,effect,same_article_articles,same_snippet_articles,article_ids,inference_level
Milk,adulterant,diarrhoea,1,1,milk-6467077b7f183c28,same-article contextual hypothesis; causal edge is not explicit
dark chocolate,lead,health issues,1,1,milk-681b94301c4f1a61,same-article contextual hypothesis; causal edge is not explicit
dark chocolate,cadmium,health issues,1,1,milk-681b94301c4f1a61,same-article contextual hypothesis; causal edge is not explicit
organic dark chocolate,lead,health issues,1,1,milk-681b94301c4f1a61,same-article contextual hypothesis; causal edge is not explicit
cough syrup,diethylene glycol,organ damage,1,1,milk-6cf8b965d0dba773,same-article contextual hypothesis; causal edge is not explicit
cough syrup,diethylene glycol,renal failure,1,1,milk-6cf8b965d0dba773,same-article contextual hypothesis; causal edge is not explicit
Milk,unknown adulterant,acuteeffect,1,1,milk-6f2986b6515645ab,same-article contextual hypothesis; causal edge is not explicit
Paneer,vegetable oil/fat,food borne illnesses,1,1,milk-743614fce3b7e2f3,same-article contextual hypothesis; causal edge is not explicit
Paneer,vegetable oil/fat,food poisoning,1,1,milk-743614fce3b7e2f3,same-article contextual hypothesis; causal edge is not explicit
Paneer,pathogens,food borne illnesses,1,1,milk-743614fce3b7e2f3,same-article contextual hypothesis; causal edge is not explicit
Paneer,pathogens,food poisoning,1,1,milk-743614fce3b7e2f3,same-article contextual hypothesis; causal edge is not explicit
Milk,salt,food poisoning,1,1,milk-74d1d6aaa4ade7cf,same-article contextual hypothesis; causal edge is not explicit
Milk,glucose,food poisoning,1,1,milk-74d1d6aaa4ade7cf,same-article contextual hypothesis; causal edge is not explicit
Milk,glucose,death,1,1,milk-74d1d6aaa4ade7cf,same-article contextual hypothesis; causal edge is not explicit
Paneer,starch,death,1,1,milk-74d1d6aaa4ade7cf,same-article contextual hypothesis; causal edge is not explicit
Paneer,detergent,death,1,1,milk-74d1d6aaa4ade7cf,same-article contextual hypothesis; causal edge is not explicit
Mustard oil,rice bran oil,cancer/carcinogenicity,1,1,milk-74d1d6aaa4ade7cf,same-article contextual hypothesis; causal edge is not explicit
Mustard oil,artificial allyl isothiocyanate,cancer/carcinogenicity,1,1,milk-74d1d6aaa4ade7cf,same-article contextual hypothesis; causal edge is not explicit
Milk,water,health problems,1,1,milk-768bded20870f802,same-article contextual hypothesis; causal edge is not explicit
Milk,starch,health problems,1,1,milk-768bded20870f802,same-article contextual hypothesis; causal edge is not explicit
Ghee,palm oil family,health problems,1,1,milk-768bded20870f802,same-article contextual hypothesis; causal edge is not explicit
Milk,hazardous waste,side effects on humans,1,1,milk-790fc8711484d28b,same-article contextual hypothesis; causal edge is not explicit
dairy products,salmonella,diarrhoea,1,1,milk-7ad5f827a3ae30fe,same-article contextual hypothesis; causal edge is not explicit
dairy products,salmonella,abdominal cramps,1,1,milk-7ad5f827a3ae30fe,same-article contextual hypothesis; causal edge is not explicit
dairy products,salmonella,fever,1,1,milk-7ad5f827a3ae30fe,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,peptic ulcers,1,1,milk-7e13b24dc1c7f107,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,peptic ulcers,1,1,milk-7e13b24dc1c7f107,same-article contextual hypothesis; causal edge is not explicit
Milk,mineral oils,peptic ulcers,1,1,milk-7e13b24dc1c7f107,same-article contextual hypothesis; causal edge is not explicit
Milk,mineral oils,nausea,1,1,milk-7e13b24dc1c7f107,same-article contextual hypothesis; causal edge is not explicit
Milk,mineral oils,vomiting,1,1,milk-7e13b24dc1c7f107,same-article contextual hypothesis; causal edge is not explicit
tap water,bacteria,cancerous changes,1,1,milk-8525c631cb260a24,same-article contextual hypothesis; causal edge is not explicit
tap water,bacteria,cancer/carcinogenicity,1,1,milk-8525c631cb260a24,same-article contextual hypothesis; causal edge is not explicit
tap water,viruses,cancerous changes,1,1,milk-8525c631cb260a24,same-article contextual hypothesis; causal edge is not explicit
tap water,viruses,cancer/carcinogenicity,1,1,milk-8525c631cb260a24,same-article contextual hypothesis; causal edge is not explicit
tap water,harmful chemicals,cancer/carcinogenicity,1,1,milk-8525c631cb260a24,same-article contextual hypothesis; causal edge is not explicit
street food,carcinogenic compounds,cancerous changes,1,1,milk-8525c631cb260a24,same-article contextual hypothesis; causal edge is not explicit
Milk,hazardous additives,epidemic dropsy,1,1,milk-8a55933f0d5da63a,same-article contextual hypothesis; causal edge is not explicit
Ghee,inferior fats,epidemic dropsy,1,1,milk-8a55933f0d5da63a,same-article contextual hypothesis; causal edge is not explicit
edible oils,inferior fats,epidemic dropsy,1,1,milk-8a55933f0d5da63a,same-article contextual hypothesis; causal edge is not explicit
spices,industrial dyes,epidemic dropsy,1,1,milk-8a55933f0d5da63a,same-article contextual hypothesis; causal edge is not explicit
sweets,synthetic khoya,epidemic dropsy,1,1,milk-8a55933f0d5da63a,same-article contextual hypothesis; causal edge is not explicit
honey,sugar syrup,epidemic dropsy,1,1,milk-8a55933f0d5da63a,same-article contextual hypothesis; causal edge is not explicit
fruits and vegetables,pesticide residue,epidemic dropsy,1,1,milk-8a55933f0d5da63a,same-article contextual hypothesis; causal edge is not explicit
turmeric,metanil yellow,epidemic dropsy,1,1,milk-8a55933f0d5da63a,same-article contextual hypothesis; causal edge is not explicit
Milk,ethylene glycol,liver damage,1,1,milk-8f48bdb945aaf5fc,same-article contextual hypothesis; causal edge is not explicit
protein supplements,lead,neurological problems,1,1,milk-8fb413472dd724f9,same-article contextual hypothesis; causal edge is not explicit
protein supplements,lead,kidney issues,1,1,milk-8fb413472dd724f9,same-article contextual hypothesis; causal edge is not explicit
protein supplements,mercury,neurological problems,1,1,milk-8fb413472dd724f9,same-article contextual hypothesis; causal edge is not explicit
protein supplements,mercury,kidney issues,1,1,milk-8fb413472dd724f9,same-article contextual hypothesis; causal edge is not explicit
protein supplements,cadmium,neurological problems,1,1,milk-8fb413472dd724f9,same-article contextual hypothesis; causal edge is not explicit
protein supplements,cadmium,kidney issues,1,1,milk-8fb413472dd724f9,same-article contextual hypothesis; causal edge is not explicit
protein supplements,arsenic,neurological problems,1,1,milk-8fb413472dd724f9,same-article contextual hypothesis; causal edge is not explicit
protein supplements,arsenic,kidney issues,1,1,milk-8fb413472dd724f9,same-article contextual hypothesis; causal edge is not explicit
protein supplements,synthetic flavours,neurological problems,1,1,milk-8fb413472dd724f9,same-article contextual hypothesis; causal edge is not explicit
protein supplements,synthetic flavours,kidney issues,1,1,milk-8fb413472dd724f9,same-article contextual hypothesis; causal edge is not explicit
protein supplements,hydrogenated oils,neurological problems,1,1,milk-8fb413472dd724f9,same-article contextual hypothesis; causal edge is not explicit
protein supplements,hydrogenated oils,kidney issues,1,1,milk-8fb413472dd724f9,same-article contextual hypothesis; causal edge is not explicit
protein supplements,unverified herbal stimulants,neurological problems,1,1,milk-8fb413472dd724f9,same-article contextual hypothesis; causal edge is not explicit
protein supplements,unverified herbal stimulants,kidney issues,1,1,milk-8fb413472dd724f9,same-article contextual hypothesis; causal edge is not explicit
Milk,poison,acuteeffect,1,1,milk-8fce7f9bce4587df,same-article contextual hypothesis; causal edge is not explicit
ice cream,detergent,bone weakening,1,1,milk-90b61558dc2a44b6,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,bone weakening,1,1,milk-90b61558dc2a44b6,same-article contextual hypothesis; causal edge is not explicit
Milk,starch,severe health risks,1,1,milk-90b61558dc2a44b6,same-article contextual hypothesis; causal edge is not explicit
Paneer,bacterial presence,severe health risks,1,1,milk-90b61558dc2a44b6,same-article contextual hypothesis; causal edge is not explicit
Paneer,non dairy additives,severe health risks,1,1,milk-90b61558dc2a44b6,same-article contextual hypothesis; causal edge is not explicit
Milk,unknown adulterant,acute renal dysfunction,1,1,milk-92d9f94360892623,same-article contextual hypothesis; causal edge is not explicit
Milk,unknown toxic substance,fflo acuteeffect,1,1,milk-9eee27e256bcfffc,same-article contextual hypothesis; causal edge is not explicit
Milk,water,cardiovascular risks,1,1,milk-a1ae27d81f0013a5,same-article contextual hypothesis; causal edge is not explicit
spices,artificial dyes,cardiovascular risks,1,1,milk-a1ae27d81f0013a5,same-article contextual hypothesis; causal edge is not explicit
water,arsenic,death,1,1,milk-a5df4da0189c780d,same-article contextual hypothesis; causal edge is not explicit
Milk,sodium bicarbonate,cancer/carcinogenicity,1,1,milk-a710297f02e308b8,same-article contextual hypothesis; causal edge is not explicit
Milk,toxins,brain development issues,1,1,milk-ac16214f09ab2f5a,same-article contextual hypothesis; causal edge is not explicit
Milk,chemicals,brain development issues,1,1,milk-ac16214f09ab2f5a,same-article contextual hypothesis; causal edge is not explicit
Milk,ethylene glycol,renal failure,1,1,milk-ae0fa0b757ba21df,same-article contextual hypothesis; causal edge is not explicit
fish,formalin/formaldehyde,health hazards,1,1,milk-af1ce0c3ea9cfd70,same-article contextual hypothesis; causal edge is not explicit
fruits and vegetables,harmful chemicals,health hazards,1,1,milk-af1ce0c3ea9cfd70,same-article contextual hypothesis; causal edge is not explicit
fruits,pesticide residue,serious health risks,1,1,milk-b993f201bb670e21,same-article contextual hypothesis; causal edge is not explicit
wheat flour,pesticide residue,serious health risks,1,1,milk-b993f201bb670e21,same-article contextual hypothesis; causal edge is not explicit
Milk,pesticide residue,serious health risks,1,1,milk-b993f201bb670e21,same-article contextual hypothesis; causal edge is not explicit
fish,cadmium,food poisoning,1,1,milk-b993f201bb670e21,same-article contextual hypothesis; causal edge is not explicit
fish,cadmium,cancer/carcinogenicity,1,1,milk-b993f201bb670e21,same-article contextual hypothesis; causal edge is not explicit
octopus,cadmium,food poisoning,1,1,milk-b993f201bb670e21,same-article contextual hypothesis; causal edge is not explicit
octopus,cadmium,cancer/carcinogenicity,1,1,milk-b993f201bb670e21,same-article contextual hypothesis; causal edge is not explicit
squid,cadmium,food poisoning,1,1,milk-b993f201bb670e21,same-article contextual hypothesis; causal edge is not explicit
squid,cadmium,cancer/carcinogenicity,1,1,milk-b993f201bb670e21,same-article contextual hypothesis; causal edge is not explicit
fish,mercury,food poisoning,1,1,milk-b993f201bb670e21,same-article contextual hypothesis; causal edge is not explicit
fish,mercury,serious health risks,1,1,milk-b993f201bb670e21,same-article contextual hypothesis; causal edge is not explicit
Milk,unknown toxin,fflo acuteeffect,1,1,milk-ba4f1457d110127f,same-article contextual hypothesis; causal edge is not explicit
sweets,metanil yellow,physiological degeneration,1,1,milk-bb864d8d03055611,same-article contextual hypothesis; causal edge is not explicit
sweets,metanil yellow,organ pathology,1,1,milk-bb864d8d03055611,same-article contextual hypothesis; causal edge is not explicit
sweets,metanil yellow,genetic damage,1,1,milk-bb864d8d03055611,same-article contextual hypothesis; causal edge is not explicit
sweets,rhodamine B,physiological degeneration,1,1,milk-bb864d8d03055611,same-article contextual hypothesis; causal edge is not explicit
sweets,rhodamine B,organ pathology,1,1,milk-bb864d8d03055611,same-article contextual hypothesis; causal edge is not explicit
sweets,rhodamine B,genetic damage,1,1,milk-bb864d8d03055611,same-article contextual hypothesis; causal edge is not explicit
sweets,malachite green,physiological degeneration,1,1,milk-bb864d8d03055611,same-article contextual hypothesis; causal edge is not explicit
sweets,malachite green,organ pathology,1,1,milk-bb864d8d03055611,same-article contextual hypothesis; causal edge is not explicit
sweets,malachite green,genetic damage,1,1,milk-bb864d8d03055611,same-article contextual hypothesis; causal edge is not explicit
Paneer,vegetable oil/fat,risk to health,1,1,milk-c4c85c2d91f17593,same-article contextual hypothesis; causal edge is not explicit
fermented foods,toxins,acuteeffect,1,1,milk-c720835299992065,same-article contextual hypothesis; causal edge is not explicit
Milk,listeria,guillain barré syndrome,1,1,milk-c8d247f8a136d400,same-article contextual hypothesis; causal edge is not explicit
Milk,listeria,muscle paralysis,1,1,milk-c8d247f8a136d400,same-article contextual hypothesis; causal edge is not explicit
Milk,campylobacter,listeriosis,1,1,milk-c8d247f8a136d400,same-article contextual hypothesis; causal edge is not explicit
Milk,campylobacter,muscle paralysis,1,1,milk-c8d247f8a136d400,same-article contextual hypothesis; causal edge is not explicit
undercooked beef,e coli,listeriosis,1,1,milk-c8d247f8a136d400,same-article contextual hypothesis; causal edge is not explicit
undercooked beef,e coli,guillain barré syndrome,1,1,milk-c8d247f8a136d400,same-article contextual hypothesis; causal edge is not explicit
undercooked beef,e coli,muscle paralysis,1,1,milk-c8d247f8a136d400,same-article contextual hypothesis; causal edge is not explicit
drinking water,raw sewage,death,1,1,milk-c9d34ca0c97e2a93,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,digestive complications,1,1,milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,starch,digestive complications,1,1,milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,digestive complications,1,1,milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,maltodextrin,liver damage,1,1,milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,maltodextrin,kidney damage,1,1,milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,maltodextrin,digestive complications,1,1,milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,vegetable oil/fat,liver damage,1,1,milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,vegetable oil/fat,kidney damage,1,1,milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,vegetable oil/fat,vomiting,1,1,milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,vegetable oil/fat,digestive complications,1,1,milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,neutralisers,liver damage,1,1,milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,neutralisers,kidney damage,1,1,milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,neutralisers,vomiting,1,1,milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
Milk,neutralisers,digestive complications,1,1,milk-d1fcc18c1d80bd0a,same-article contextual hypothesis; causal edge is not explicit
protein powder,lead,cancer/carcinogenicity,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,arsenic,impaired brain development,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,arsenic,kidney damage,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,arsenic,impaired learning,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,arsenic,cancer/carcinogenicity,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,cadmium,impaired brain development,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,cadmium,kidney damage,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,cadmium,impaired learning,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,cadmium,cancer/carcinogenicity,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,mercury,impaired brain development,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,mercury,kidney damage,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,mercury,impaired learning,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,mercury,cancer/carcinogenicity,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,bisphenol a,impaired brain development,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,bisphenol a,kidney damage,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,bisphenol a,impaired learning,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,bisphenol a,cancer/carcinogenicity,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,pesticide residue,impaired brain development,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,pesticide residue,kidney damage,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
protein powder,pesticide residue,impaired learning,1,1,milk-d2fe77bd3bfa3b48,same-article contextual hypothesis; causal edge is not explicit
chilli powder,lead chromate,cancer/carcinogenicity,1,1,milk-d5b2611e75b60517,same-article contextual hypothesis; causal edge is not explicit
turmeric,brick powder,cancer/carcinogenicity,1,1,milk-d5b2611e75b60517,same-article contextual hypothesis; causal edge is not explicit
chilli powder,brick powder,cancer/carcinogenicity,1,1,milk-d5b2611e75b60517,same-article contextual hypothesis; causal edge is not explicit
chilli powder,metanil yellow,cancer/carcinogenicity,1,1,milk-d5b2611e75b60517,same-article contextual hypothesis; causal edge is not explicit
turmeric,rhodamine B,cancer/carcinogenicity,1,1,milk-d5b2611e75b60517,same-article contextual hypothesis; causal edge is not explicit
chilli powder,rhodamine B,cancer/carcinogenicity,1,1,milk-d5b2611e75b60517,same-article contextual hypothesis; causal edge is not explicit
edible oils,artificial colours,cancer/carcinogenicity,1,1,milk-d5b2611e75b60517,same-article contextual hypothesis; causal edge is not explicit
edible oils,artificial flavours,cancer/carcinogenicity,1,1,milk-d5b2611e75b60517,same-article contextual hypothesis; causal edge is not explicit
mithai,artificial dyes,nausea,1,1,milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
mithai,industrial dyes,digestive irritation,1,1,milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Milk,water,hyperactivity,1,1,milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,rashes,1,1,milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,hyperactivity,1,1,milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,rashes,1,1,milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,hyperactivity,1,1,milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
dry fruits,mineral oil,hyperactivity,1,1,milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
dry fruits,mineral oil,long term health risks,1,1,milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
dry fruits,artificial colours,gastrointestinal illness,1,1,milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
dry fruits,artificial colours,food poisoning,1,1,milk-d76c56c09e58067b,same-article contextual hypothesis; causal edge is not explicit
Milk,oil,renal failure,1,1,milk-e684b29654db6793,same-article contextual hypothesis; causal edge is not explicit
Milk,coolant oil,renal failure,1,1,milk-e684b29654db6793,same-article contextual hypothesis; causal edge is not explicit
Milk,refined oil,health of the people,1,1,milk-e8dfe59b0423e72e,same-article contextual hypothesis; causal edge is not explicit
Milk,caustic soda,health of the people,1,1,milk-e8dfe59b0423e72e,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,health of the people,1,1,milk-e8dfe59b0423e72e,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,health of the people,1,1,milk-e8dfe59b0423e72e,same-article contextual hypothesis; causal edge is not explicit
Milk,starch,health of the people,1,1,milk-e8dfe59b0423e72e,same-article contextual hypothesis; causal edge is not explicit
glycol,milk,acuteeffect,1,1,milk-f7719b46ca2d2fe0,same-article contextual hypothesis; causal edge is not explicit
Milk,glycol,acuteeffect,1,1,milk-f7719b46ca2d2fe0,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,spike in blood sugar,1,1,milk-fa44bcc5515bda60,same-article contextual hypothesis; causal edge is not explicit
Milk,urea,affecting gut health,1,1,milk-fa44bcc5515bda60,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,damage to the digestive system,1,1,milk-fa44bcc5515bda60,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,spike in blood sugar,1,1,milk-fa44bcc5515bda60,same-article contextual hypothesis; causal edge is not explicit
Milk,detergent,affecting gut health,1,1,milk-fa44bcc5515bda60,same-article contextual hypothesis; causal edge is not explicit
Milk,maltodextrin,damage to the digestive system,1,1,milk-fa44bcc5515bda60,same-article contextual hypothesis; causal edge is not explicit
Milk,maltodextrin,renal failure,1,1,milk-fa44bcc5515bda60,same-article contextual hypothesis; causal edge is not explicit
cough syrup,ethylene glycol,toxicity,1,1,milk-fccd7cb21929e82a,same-article contextual hypothesis; causal edge is not explicit
cough syrup,diethylene glycol,toxicity,1,1,milk-fccd7cb21929e82a,same-article contextual hypothesis; causal edge is not explicit
Paneer,listeria,food poisoning,1,1,milk-fd2049abe5c1c74f,same-article contextual hypothesis; causal edge is not explicit
Paneer,e coli,food poisoning,1,1,milk-fd2049abe5c1c74f,same-article contextual hypothesis; causal edge is not explicit
Cheese,listeria,food poisoning,1,1,milk-fd2049abe5c1c74f,same-article contextual hypothesis; causal edge is not explicit
chilli powder,brick powder,nausea,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
chilli powder,brick powder,stomach disorders,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
chilli powder,brick powder,food poisoning,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
chilli powder,sand,nausea,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
chilli powder,sand,stomach disorders,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
chilli powder,sand,food poisoning,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
chilli powder,artificial colour,nausea,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
chilli powder,artificial colour,stomach disorders,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
chilli powder,artificial colour,food poisoning,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
turmeric powder,lead chromate,nausea,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
turmeric powder,lead chromate,stomach disorders,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
turmeric powder,lead chromate,food poisoning,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
turmeric powder,chalk powder,nausea,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
turmeric powder,chalk powder,stomach disorders,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
turmeric powder,chalk powder,food poisoning,1,1,milk-fe1e3cc4f8fe0fc2,same-article contextual hypothesis; causal edge is not explicit
Milk,refined oil,liver damage,1,1,oil-08739343ef4cafb5,same-article contextual hypothesis; causal edge is not explicit
Milk,soap solution,liver damage,1,1,oil-08739343ef4cafb5,same-article contextual hypothesis; causal edge is not explicit
Milk,palm oil family,acidity,1,1,oil-0e31cfbc7c7f200f,same-article contextual hypothesis; causal edge is not explicit
Milk,palm oil family,gas,1,1,oil-0e31cfbc7c7f200f,same-article contextual hypothesis; causal edge is not explicit
Milk,palm oil family,kidney ailments,1,1,oil-0e31cfbc7c7f200f,same-article contextual hypothesis; causal edge is not explicit
edible oils,liquid paraffin,cardiovascular disease,1,1,oil-196049b8667d294d,same-article contextual hypothesis; causal edge is not explicit
edible oils,cottonseed oil,obesity,1,1,oil-196049b8667d294d,same-article contextual hypothesis; causal edge is not explicit
edible oils,various oils,cancer/carcinogenicity,1,1,oil-39f81bacdf9fd353,same-article contextual hypothesis; causal edge is not explicit
Edible/cooking oil,argemone oil,liver damage,1,1,oil-3bd1cf9862ff569d,same-article contextual hypothesis; causal edge is not explicit
Edible/cooking oil,argemone oil,reproductive issues,1,1,oil-3bd1cf9862ff569d,same-article contextual hypothesis; causal edge is not explicit
Edible/cooking oil,argemone oil,severe gastrointestinal issues,1,1,oil-3bd1cf9862ff569d,same-article contextual hypothesis; causal edge is not explicit
Edible/cooking oil,used cooking oil,clogged arteries,1,1,oil-3ef2550fc329c436,same-article contextual hypothesis; causal edge is not explicit
Edible/cooking oil,used cooking oil,heart problems,1,1,oil-3ef2550fc329c436,same-article contextual hypothesis; causal edge is not explicit
Edible/cooking oil,used cooking oil,hypertension,1,1,oil-3ef2550fc329c436,same-article contextual hypothesis; causal edge is not explicit
Edible/cooking oil,used cooking oil,atherosclerosis,1,1,oil-3ef2550fc329c436,same-article contextual hypothesis; causal edge is not explicit
Edible/cooking oil,used cooking oil,alzheimer s,1,1,oil-3ef2550fc329c436,same-article contextual hypothesis; causal edge is not explicit
Soybean oil,vitamin d,fflo acuteeffect,1,1,oil-4d6bfb72c0733299,same-article contextual hypothesis; causal edge is not explicit
binni refined oil,vitamin d,fflo acuteeffect,1,1,oil-4d6bfb72c0733299,same-article contextual hypothesis; causal edge is not explicit
binni refined oil,vitamin d,hypercalcemia,1,1,oil-4d6bfb72c0733299,same-article contextual hypothesis; causal edge is not explicit
binni refined oil,vitamin d,kidney damage,1,1,oil-4d6bfb72c0733299,same-article contextual hypothesis; causal edge is not explicit
binni refined oil,vitamin d,bone damage,1,1,oil-4d6bfb72c0733299,same-article contextual hypothesis; causal edge is not explicit
binni refined oil,vitamin d,soft tissue damage,1,1,oil-4d6bfb72c0733299,same-article contextual hypothesis; causal edge is not explicit
Paneer,maida,severe health risks,1,1,oil-50e40c8b74e2a126,same-article contextual hypothesis; causal edge is not explicit
Paneer,palm oil family,severe health risks,1,1,oil-50e40c8b74e2a126,same-article contextual hypothesis; causal edge is not explicit
Paneer,baking powder,severe health risks,1,1,oil-50e40c8b74e2a126,same-article contextual hypothesis; causal edge is not explicit
Paneer,discarded skimmed milk,severe health risks,1,1,oil-50e40c8b74e2a126,same-article contextual hypothesis; causal edge is not explicit
Paneer,detergent,severe health risks,1,1,oil-50e40c8b74e2a126,same-article contextual hypothesis; causal edge is not explicit
Paneer,bicarbonate of soda,severe health risks,1,1,oil-50e40c8b74e2a126,same-article contextual hypothesis; causal edge is not explicit
Edible/cooking oil,total polar compounds,heart blockage,1,1,oil-781825881f210349,same-article contextual hypothesis; causal edge is not explicit
namkeen,sunset yellow,stomach infections,1,1,oil-825d58fdbb007f4f,same-article contextual hypothesis; causal edge is not explicit
namkeen,sunset yellow,skin infections,1,1,oil-825d58fdbb007f4f,same-article contextual hypothesis; causal edge is not explicit
Mustard oil,metanil yellow,dropsy,1,1,oil-89e415114ffbdc77,same-article contextual hypothesis; causal edge is not explicit
Mustard oil,white oil,dropsy,1,1,oil-89e415114ffbdc77,same-article contextual hypothesis; causal edge is not explicit
Mustard oil,castor oil,dropsy,1,1,oil-89e415114ffbdc77,same-article contextual hypothesis; causal edge is not explicit
Mustard oil,soybean oil,dropsy,1,1,oil-89e415114ffbdc77,same-article contextual hypothesis; causal edge is not explicit
Mustard oil,groundnut oil,dropsy,1,1,oil-89e415114ffbdc77,same-article contextual hypothesis; causal edge is not explicit
Mustard oil,cotton seed oil,dropsy,1,1,oil-89e415114ffbdc77,same-article contextual hypothesis; causal edge is not explicit
Mustard oil,hexane,dropsy,1,1,oil-89e415114ffbdc77,same-article contextual hypothesis; causal edge is not explicit
food items,artificial colors,threatens public health,1,1,oil-8c664dba9516ee5f,same-article contextual hypothesis; causal edge is not explicit
mangoes,calcium carbide,gastrointestinal diseases,1,1,oil-8c664dba9516ee5f,same-article contextual hypothesis; causal edge is not explicit
