food,observed_effect,candidate_adulterant,articles_with_food_effect_context,articles_also_naming_candidate,observed_article_share_pct,laplace_smoothed_presence_pct,mean_candidate_confidence,interpretation
turmeric powder,liver diseases,wood powder,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
turmeric powder,liver diseases,non edible synthetic yellow colour,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
turmeric powder,obstruction in the intestine,waste rice powder,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
turmeric powder,obstruction in the intestine,wood powder,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
turmeric powder,obstruction in the intestine,non edible synthetic yellow colour,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
soya chunks,gastrointestinal illness,ammonium bicarbonate,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
soya chunks,cancer/carcinogenicity,ammonium bicarbonate,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
soya chunks,skin diseases,ammonium bicarbonate,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
soya chunks,liver diseases,ammonium bicarbonate,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
soya chunks,obstruction in the intestine,ammonium bicarbonate,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
chilli powder,skin diseases,aniline dyes,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
chilli powder,liver diseases,aniline dyes,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
chilli powder,obstruction in the intestine,aniline dyes,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,chronic inflammation,palm oil family,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,chronic inflammation,vegetable oil/fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,chronic inflammation,less expensive oils and fats,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,chronic inflammation,vanaspati,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,chronic inflammation,animal fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,bloating,palm oil family,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,bloating,vegetable oil/fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,bloating,less expensive oils and fats,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,bloating,vanaspati,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,bloating,animal fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,high cholesterol levels,palm oil family,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,high cholesterol levels,vegetable oil/fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,high cholesterol levels,less expensive oils and fats,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,high cholesterol levels,vanaspati,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,high cholesterol levels,animal fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,stomach discomfort,palm oil family,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,stomach discomfort,vegetable oil/fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,stomach discomfort,less expensive oils and fats,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,stomach discomfort,vanaspati,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,stomach discomfort,animal fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,elevated blood pressure,palm oil family,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,elevated blood pressure,vegetable oil/fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,elevated blood pressure,less expensive oils and fats,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,elevated blood pressure,vanaspati,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,elevated blood pressure,animal fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,oxidative stress,palm oil family,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,oxidative stress,vegetable oil/fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,oxidative stress,less expensive oils and fats,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,oxidative stress,vanaspati,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,oxidative stress,animal fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,acuteeffect,animal fat,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,health risks,unspecified adulterant,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
adulterated food,cancer/carcinogenicity,contaminated ingredients,1,1,100.0,66.67,0.7,"hypothesis-ranking association, not a calibrated causal probability"
osmania biscuits,cancer/carcinogenicity,unspecified adulterant,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
ginger garlic paste,cancer/carcinogenicity,xanthan gum,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
ginger garlic paste,cancer/carcinogenicity,low quality waste,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
ginger garlic paste,cancer/carcinogenicity,concentrated citric acid,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
biscuits,cancer/carcinogenicity,sorbic acid,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
biscuits,cancer/carcinogenicity,rotten eggs,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
biscuits,cancer/carcinogenicity,sodium benzoate,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,public health risks,chemicals,1,1,100.0,66.67,0.75,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,public health risks,animal fat,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,public health risks,palm oil family,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
srivari laddu,public health risks,palm oil family,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Tirupati laddu,public health risks,animal fat,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,fall sick,palm oil family,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,fall sick,starch,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,fall sick,synthetic milk,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,fall sick,artificial ingredients,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,fall sick,synthetic materials,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,stomach pain and loose motions,palm oil family,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,stomach pain and loose motions,starch,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,stomach pain and loose motions,synthetic milk,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,stomach pain and loose motions,artificial ingredients,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Khoya/mawa,stomach pain and loose motions,synthetic materials,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,raises bad cholesterol,refined oil,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,raises bad cholesterol,yellow colouring,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,raises bad cholesterol,vanaspati,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,raises bad cholesterol,synthetic aroma,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,raises bad cholesterol,paraffin wax,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,raises bad cholesterol,starch,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,raises bad cholesterol,hydrogenated fats,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,raises bad cholesterol,yellow colour,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,raises bad cholesterol,synthetic essences,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,raises bad cholesterol,ghee essence,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,clogs arteries,refined oil,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,clogs arteries,yellow colouring,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,clogs arteries,vanaspati,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,clogs arteries,synthetic aroma,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,clogs arteries,paraffin wax,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,clogs arteries,starch,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,clogs arteries,hydrogenated fats,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,clogs arteries,yellow colour,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,clogs arteries,synthetic essences,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,clogs arteries,ghee essence,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
cream,serious health risks,palm oil family,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
cake,fflo chroniceffect,synthetic colours,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
oil,cancer/carcinogenicity,total polar compounds,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
oil,fflo chroniceffect,total polar compounds,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,fflo chroniceffect,vegetable oil/fat,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Ghee,fflo chroniceffect,harmful chemicals,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
maggi noodles,acuteeffect,rat poison,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,kidney related problems,ethylene glycol,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
spice blends,cancer/carcinogenicity,ethylene oxide,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
spurious liquor,food poisoning,methanol,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Cheese,vomiting,escherichia coli,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Cheese,uti,escherichia coli,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Cheese,hemolytic uremic syndrome,escherichia coli,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Cheese,kidney damage,escherichia coli,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Cheese,toxic megacolon,escherichia coli,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Cheese,low fever,escherichia coli,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
watermelon,fflo acuteeffect,salmonella,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
watermelon,fflo acuteeffect,e coli,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
buckwheat flour,food poisoning,contaminant,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,health risks to diabetic patients,ethylene glycol,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,bloating,dioxins,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,reduced digestion capacity,dioxins,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,cessation of regular food intake,dioxins,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,inability to give milk,dioxins,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,internal organ damage,dioxins,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,typhoid,sunset yellow,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,typhoid,tartrazine,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,typhoid,toxic chemical essence,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,typhoid,coconut shell powder,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,fflo acuteeffect,sunset yellow,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,fflo acuteeffect,tartrazine,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,fflo acuteeffect,toxic chemical essence,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,fflo acuteeffect,coconut shell powder,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,cancer/carcinogenicity,sunset yellow,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,cancer/carcinogenicity,tartrazine,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,cancer/carcinogenicity,toxic chemical essence,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,cancer/carcinogenicity,coconut shell powder,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,allergic reaction,sunset yellow,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,allergic reaction,tartrazine,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,allergic reaction,toxic chemical essence,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,allergic reaction,coconut shell powder,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,jaundice,sunset yellow,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,jaundice,tartrazine,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,jaundice,toxic chemical essence,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
tea powder,jaundice,coconut shell powder,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,severe damage to body parts,embalming powder,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
biscuits,severe damage to body parts,embalming powder,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
mithais,dehydration,synthetic dyes,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
mithais,acute diarrhoeal illness,synthetic dyes,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
mithais,hepatitis a,synthetic dyes,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,acute diarrhoeal illness,salmonella,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
Milk,acute diarrhoeal illness,shigella dysenteriae,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
Milk,hepatitis a,salmonella,1,1,100.0,66.67,0.8,"hypothesis-ranking association, not a calibrated causal probability"
Milk,hepatitis a,shigella dysenteriae,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
honey,adverse effects on health,high fructose corn syrup,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,adverse effects on health,maltotriose,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
honey,adverse effects on health,beetroot syrup,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,adverse effects on health,sugarcane syrup,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,adverse effects on health,rice syrup,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,adverse effects on health,advanced syrups,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
honey,adverse effects on health,corn syrup,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
honey,adverse effects on health,mannose,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
honey,adverse effects on health,maltose,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
chilli gobi,viral enteritis,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chilli gobi,typhoid,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chilli gobi,fflo acuteeffect,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chilli gobi,gastrointestinal illness,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chilli gobi,non typhoidal salmonellosis,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chilli gobi,typhoid fever,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chilli gobi,obesity,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chilli gobi,storing prepared food and raw materials together,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chilli gobi,diarrhoea,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken,viral enteritis,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken,typhoid,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken,fflo acuteeffect,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken,gastrointestinal illness,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken,non typhoidal salmonellosis,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken,typhoid fever,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken,obesity,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken,storing prepared food and raw materials together,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken,diarrhoea,non permitted colouring agents,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
gobi manchurian,viral enteritis,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
gobi manchurian,typhoid,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
gobi manchurian,fflo acuteeffect,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
gobi manchurian,gastrointestinal illness,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
gobi manchurian,non typhoidal salmonellosis,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
gobi manchurian,typhoid fever,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
gobi manchurian,obesity,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
gobi manchurian,storing prepared food and raw materials together,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
gobi manchurian,diarrhoea,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken manchurian,viral enteritis,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken manchurian,typhoid,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken manchurian,fflo acuteeffect,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken manchurian,gastrointestinal illness,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken manchurian,non typhoidal salmonellosis,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken manchurian,typhoid fever,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken manchurian,obesity,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken manchurian,storing prepared food and raw materials together,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
chicken manchurian,diarrhoea,unapproved colours,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
baby food,behavioral changes,lead,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
baby food,behavioral changes,heavy metals,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
baby food,iq reduction,lead,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
baby food,iq reduction,heavy metals,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
rice cereal,behavioral changes,arsenic,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
rice cereal,cancer/carcinogenicity,arsenic,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
rice cereal,iq reduction,arsenic,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
mashed sweet potatoes,behavioral changes,lead,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
mashed sweet potatoes,cancer/carcinogenicity,lead,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
mashed sweet potatoes,iq reduction,lead,1,1,100.0,66.67,0.85,"hypothesis-ranking association, not a calibrated causal probability"
leafy greens,behavioral changes,heavy metals,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
leafy greens,cancer/carcinogenicity,heavy metals,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
leafy greens,iq reduction,heavy metals,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
rice,behavioral changes,arsenic,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
rice,iq reduction,arsenic,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Milk,introduction of foreign particles and contaminants,water,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal discomfort,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal discomfort,caustic soda,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal discomfort,formalin/formaldehyde,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal discomfort,starch,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,gastrointestinal discomfort,detergent,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,irritate the digestive tract,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,irritate the digestive tract,caustic soda,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,irritate the digestive tract,formalin/formaldehyde,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,irritate the digestive tract,starch,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,irritate the digestive tract,detergent,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,metabolic disturbances,urea,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,metabolic disturbances,caustic soda,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,metabolic disturbances,formalin/formaldehyde,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,metabolic disturbances,starch,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Milk,metabolic disturbances,detergent,1,1,100.0,66.67,0.95,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,gastrointestinal discomfort,detergent,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,irritate the digestive tract,detergent,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Paneer,metabolic disturbances,detergent,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Curd/yoghurt,gastrointestinal discomfort,detergent,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Curd/yoghurt,irritate the digestive tract,detergent,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Curd/yoghurt,cancer/carcinogenicity,detergent,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Curd/yoghurt,kidney damage,detergent,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Curd/yoghurt,multi-organ failure,detergent,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Curd/yoghurt,liver damage,detergent,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
Curd/yoghurt,metabolic disturbances,detergent,1,1,100.0,66.67,0.9,"hypothesis-ranking association, not a calibrated causal probability"
